id;seccion;edad;pf_ac1;pf_ac2;pf_ac3;pf_alg_2019;pf_alg_2020;alg_1b_2021;alg_2b_2021;alg_3b_2021;alg_4b_2021;ind_nivel_algebra;grupo_mate;genero;anios_colegio;condicion_pago;pe1;pe2;horas_asincronas;valoracion_clases;dispos_clases;calidad_internet
1;0;15;13;19;14;16;15;16;16;15;17;3;0;0;3;1;Facil;Bueno;3 horas;Satisfecho;1;Buena
2;0;14;16;19;17;16;17;17;16;18;18;3;0;1;3;1;Muy facil;Excelente;De 4 horas a mas;Muy satisfecho;4;Muy buena
3;0;14;11;18;11;11;13;12;12;16;16;3;0;0;3;1;Facil;Indiferente;1 hora;Indiferente;1;Media
4;0;14;17;17;19;18;16;16;16;19;19;3;0;1;3;1;Muy facil;Excelente;De 4 horas a mas;Muy satisfecho;2;Muy buena
5;0;15;8;9;11;11;11;12;11;14;11;2;0;0;3;1;Ni facil ni dificil;Indiferente;1 hora;Indiferente;2;Media
6;0;14;17;18;18;16;17;17;18;18;17;3;0;0;3;1;Muy facil;Bueno;3 horas;Satisfecho;1;Buena
7;0;14;15;17;19;17;17;17;18;18;18;3;0;0;3;1;Muy facil;Bueno;3 horas;Indiferente;2;Buena
8;0;14;18;18;20;18;18;17;17;19;19;3;0;1;3;1;Muy facil;Excelente;De 4 horas a mas;Muy satisfecho;1;Muy buena
9;0;14;6;6;10;11;11;10;9;8;8;1;0;0;3;1;Ni facil ni dificil;Indiferente;2 horas;Indiferente;5;Media
10;0;14;16;17;20;17;16;15;15;18;18;3;0;1;3;1;Muy facil;Bueno;3 horas;Satisfecho;4;Buena
11;0;15;13;13;19;11;16;10;14;16;18;3;0;1;4;1;Facil;Bueno;3 horas;Satisfecho;2;Buena
12;0;15;13;15;18;18;15;15;16;18;18;3;0;0;3;1;Muy facil;Bueno;3 horas;Satisfecho;3;Buena
13;0;14;14;14;19;15;18;14;15;17;18;3;0;0;3;1;Muy facil;Bueno;3 horas;Satisfecho;3;Buena
14;0;14;17;17;17;17;17;17;17;17;17;3;0;1;3;1;Muy facil;Bueno;3 horas;Satisfecho;2;Buena
15;0;15;11;12;16;13;14;14;13;15;16;3;0;1;3;1;Facil;Bueno;3 horas;Satisfecho;1;Buena
16;0;15;18;18;20;19;19;18;18;19;19;3;0;1;3;1;Muy facil;Excelente;De 4 horas a mas;Muy satisfecho;2;Muy buena
17;0;14;16;18;19;19;19;17;19;18;19;3;0;1;3;1;Muy facil;Bueno;3 horas;Satisfecho;2;Buena
18;0;14;9;8;15;13;13;10;10;14;14;3;0;0;4;1;Facil;Indiferente;2 horas;Indiferente;3;Media
19;0;15;12;12;18;15;15;16;16;14;15;3;0;0;3;1;Facil;Indiferente;2 horas;Indiferente;4;Media
20;0;15;15;17;19;13;12;10;14;13;16;3;0;0;3;1;Facil;Bueno;3 horas;Satisfecho;2;Buena
21;0;14;16;17;18;16;19;16;17;17;19;3;0;0;3;1;Muy facil;Excelente;De 4 horas a mas;Muy satisfecho;4;Muy buena
22;0;14;14;14;17;17;17;16;18;16;18;3;0;0;3;1;Muy facil;Bueno;3 horas;Satisfecho;2;Buena
23;0;15;14;14;18;18;17;16;15;18;17;3;0;0;3;1;Muy facil;Bueno;3 horas;Satisfecho;2;Buena
24;0;15;11;9;16;11;13;9;11;12;13;2;0;0;3;1;Ni facil ni dificil;Indiferente;2 horas;Indiferente;3;Media
25;0;15;19;19;20;18;19;17;18;19;19;3;0;1;3;1;Muy facil;Excelente;De 4 horas a mas;Muy satisfecho;3;Muy buena
26;0;14;17;18;19;19;18;17;18;18;19;3;0;0;3;1;Muy facil;Excelente;De 4 horas a mas;Muy satisfecho;2;Muy buena
27;0;15;12;12;17;13;18;15;11;13;18;3;0;1;3;1;Facil;Bueno;3 horas;Satisfecho;2;Buena
28;0;14;17;18;19;16;15;15;17;18;18;3;0;1;3;1;Facil;Bueno;3 horas;Satisfecho;4;Buena
29;1;14;17;17;19;19;17;16;17;19;19;3;0;0;3;1;Muy facil;Excelente;De 4 horas a mas;Muy satisfecho;3;Muy buena
30;1;15;16;19;19;18;17;17;17;20;20;3;0;1;3;1;Muy facil;Excelente;De 4 horas a mas;Muy satisfecho;4;Muy buena
31;1;15;12;15;16;15;11;10;14;16;16;3;0;0;3;1;Facil;Indiferente;2 horas;Indiferente;4;Media
32;1;14;16;18;17;15;18;16;14;18;19;3;0;1;3;1;Muy facil;Bueno;3 horas;Satisfecho;3;Buena
33;1;14;19;19;19;20;20;17;18;20;20;3;0;1;4;1;Muy facil;Excelente;De 4 horas a mas;Muy satisfecho;2;Muy buena
34;1;14;17;18;19;19;18;18;18;18;19;3;0;1;4;1;Muy facil;Excelente;De 4 horas a mas;Muy satisfecho;5;Muy buena
35;1;15;16;18;19;15;16;16;15;18;18;3;0;0;3;1;Facil;Bueno;3 horas;Satisfecho;5;Buena
36;1;14;15;17;17;19;16;16;15;14;19;3;0;1;3;1;Muy facil;Bueno;3 horas;Satisfecho;5;Buena
37;1;15;15;16;17;18;16;17;18;14;18;3;0;1;3;1;Muy facil;Bueno;3 horas;Satisfecho;3;Buena
38;1;14;17;18;19;17;13;17;13;18;20;3;0;0;3;1;Facil;Bueno;3 horas;Satisfecho;4;Buena
39;1;14;14;16;15;20;16;13;16;17;28;3;0;0;3;1;Facil;Bueno;3 horas;Satisfecho;3;Buena
